	Time(us)	Latency		Task_done
0	6527		264		1
1	6782		253		2
2	7012		230		3
3	7241		229		4
4	7471		230		5
5	7701		230		6
6	7931		230		7
7	8161		230		8
8	8391		230		9
9	8621		230		10
10	8851		230		11
11	9082		231		12
12	9311		229		13
13	9542		231		14
14	9771		229		15
15	10001		230		16
16	10252		251		17
17	10447		195		18
18	10683		236		19
19	10913		229		20
20	11143		230		21
21	11373		230		22
22	11602		229		23
23	11835		233		24
24	12064		229		25
25	12294		230		26
26	12524		230		27
27	12754		230		28
28	12985		231		29
29	13214		229		30
30	13445		231		31
31	13675		230		32
32	13904		229		33
33	14137		233		34
34	14365		228		35
35	14585		220		36
36	14815		229		37
37	15044		229		38
38	15274		230		39
39	15504		230		40
40	15733		229		41
41	15963		230		42
42	16192		229		43
43	16422		230		44
44	16651		229		45
45	16881		230		46
46	17110		229		47
47	17340		230		48
48	17569		229		49
49	17799		230		50
50	18029		230		51
51	18273		244		52
52	18467		194		53
53	18707		240		54
54	18938		231		55
55	19168		230		56
56	19397		229		57
57	19626		229		58
58	19856		229		59
59	20086		230		60
60	20316		230		61
61	20546		230		62
62	20776		230		63
63	21007		230		64
64	21236		229		65
65	21466		230		66
66	21696		230		67
67	21926		230		68
68	22156		230		69
69	22387		231		70
70	22617		230		71
71	22848		231		72
72	23077		229		73
73	23307		230		74
74	23549		242		75
75	23780		231		76
76	24019		239		77
77	24249		230		78
78	24480		231		79
79	24709		229		80
80	24939		230		81
81	25169		230		82
82	25399		230		83
83	25629		230		84
84	25858		229		85
85	26088		230		86
86	26319		231		87
87	26513		194		88
88	26707		194		89
89	26900		193		90
90	27094		194		91
91	27287		193		92
92	27480		193		93
93	27674		194		94
94	27868		194		95
95	28083		215		96
96	28313		230		97
97	28544		231		98
98	28773		229		99
99	29002		229		100
100	29232		230		101
101	29473		241		102
102	29712		239		103
103	29941		229		104
104	30171		230		105
105	30403		232		106
106	30633		230		107
107	30862		229		108
108	31091		229		109
109	31321		229		110
110	31551		230		111
111	31780		229		112
112	32010		230		113
113	32239		229		114
114	32469		230		115
115	32700		231		116
116	32929		229		117
117	33158		229		118
118	33387		229		119
119	33617		230		120
120	33847		230		121
121	34077		230		122
122	34307		230		123
123	34537		230		124
124	34767		230		125
125	34999		232		126
126	35229		230		127
127	35458		229		128
128	35688		230		129
129	35917		229		130
130	36147		230		131
131	36377		230		132
132	36607		230		133
133	36836		229		134
134	37066		230		135
135	37296		230		136
136	37525		229		137
137	37754		228		138
138	37984		230		139
139	38214		230		140
140	38443		229		141
141	38664		221		142
142	38872		208		143
143	39101		229		144
144	39331		230		145
145	39561		230		146
146	39791		230		147
147	40021		230		148
148	40251		230		149
149	40480		229		150
150	40710		229		151
151	40940		230		152
152	41179		239		153
153	41373		194		154
154	41597		224		155
155	41827		230		156
156	42057		230		157
157	42288		231		158
158	42518		230		159
159	42748		230		160
160	42977		229		161
161	43207		229		162
162	43401		194		163
163	43636		235		164
164	43866		230		165
165	44096		230		166
166	44325		229		167
167	44556		231		168
168	44785		229		169
169	45015		230		170
170	45245		230		171
171	45474		229		172
172	45711		237		173
173	45905		193		174
174	46138		233		175
175	46332		194		176
176	46566		234		177
177	46797		231		178
178	47026		229		179
179	47256		230		180
