        Time(us)        Latency         Task_done
0       8927            1              1
1       9702            2              2
2       9716            3              3
3       9729            4              4
4       9739            5              5
5       9749            6              6
6       9758            7               7
7       9768            8              8
8       9777            9               9
9       9787            10               10
0       8927            1              1
1       9702            2              2
2       9716            3              3
3       9729            4              4
4       9739            5              5
5       9749            6              6
6       9758            7               7
7       9768            8              8
8       9777            9               9
9       9787            10               10
0       8927            1              1
1       9702            2              2
2       9716            3              3
3       9729            4              4
4       9739            5              5
5       9749            6              6
6       9758            7               7
7       9768            8              8
8       9777            9               9
9       9787            10               10
0       8927            1              1
1       9702            2              2
2       9716            3              3
3       9729            4              4
4       9739            5              5
5       9749            6              6
6       9758            7               7
7       9768            8              8
8       9777            9               9
9       9787            10               10
0       8927            1              1
1       9702            2              2
2       9716            3              3
3       9729            4              4
4       9739            5              5
5       9749            6              6
6       9758            7               7
7       9768            8              8
8       9777            9               9
9       9787            10               10
0       8927            1              1
1       9702            2              2
2       9716            3              3
3       9729            4              4
4       9739            5              5
5       9749            6              6
6       9758            7               7
7       9768            8              8
8       9777            9               9
9       9787            10               10
0       8927            1              1
1       9702            2              2
2       9716            3              3
3       9729            4              4
4       9739            5              5
5       9749            6              6
6       9758            7               7
7       9768            8              8
8       9777            9               9
9       9787            10               10
0       8927            1              1
1       9702            2              2
2       9716            3              3
3       9729            4              4
4       9739            5              5
5       9749            6              6
6       9758            7               7
7       9768            8              8
8       9777            9               9
9       9787            10               10
0       8927            1              1
1       9702            2              2
2       9716            3              3
3       9729            4              4
4       9739            5              5
5       9749            6              6
6       9758            7               7
7       9768            8              8
8       9777            9               9
9       9787            10               10
0       8927            1              1
1       9702            2              2
2       9716            3              3
3       9729            4              4
4       9739            5              5
5       9749            6              6
6       9758            7               7
7       9768            8              8
8       9777            9               9
9       9787            10               10
9       9787            10               10
